date,CD,C,S,ATW,ES,PA,SB,PL,GC,CL,AD,TU
2000-06-08,0.0,0.001256,0.0,0.0,-0.0025444,-0.0019028,0.0034168,0.0039168,0.0,-0.0027416,0.0,0.0
2000-06-09,0.0,-0.0016736,0.0022652,0.0,-0.0012108,0.0,0.0208332,-0.0004588,0.0,0.0024684,0.0,0.0
2000-06-12,0.0,0.0188068,0.01328,0.0,-0.0041312,0.0,-0.0009236,0.0050936,0.0,0.0156832,-0.0033784,0.0
2000-06-13,0.0,0.0008764,0.0,0.0,0.0069104,0.0,0.0068768,-0.0006804,0.0,0.0099956,-0.0037504,0.0
2000-06-14,0.0,0.0084212,0.0095432,0.0,0.0007896,0.0,0.0,-0.0112036,0.0,-0.0003848,-0.002326,0.0
2000-06-15,0.0,-0.0044544,0.0016128,0.0,0.0,0.0,-0.0138744,0.0002332,0.0,-0.0028332,0.0,0.0
2000-06-16,0.0,-0.0030888,-0.0046196,0.0,-0.0026384,0.0,-0.0136432,0.0044856,0.0,-0.0115476,0.0,0.0
2000-06-19,0.0,0.0039756,0.004014,0.0,0.0044752,0.0,0.0160312,0.011672,0.0,-0.0048536,0.0,0.0
2000-06-20,0.0,0.0049136,0.006592,0.0,-0.001508,-0.0024124,0.0028468,0.0101776,0.0,0.01128,0.0013856,0.0
2000-06-21,0.0,-0.0022408,-0.0014072,0.0,0.0002628,-0.0050168,-0.0033236,-0.0052776,0.0,0.0055228,0.0,0.0
2000-06-22,0.0,0.0008948,0.0038316,0.0,-0.006686,-0.0167608,-0.0047964,0.005132,0.0,0.0101704,0.0,0.0
2000-06-23,0.0,0.007232,0.0030512,0.0,-0.0041604,0.0063224,-0.0038788,-0.0058704,0.0,0.0023408,-0.001538,0.0
2000-06-26,0.0,0.00701,0.0038984,0.0,0.0036928,0.0,0.0004868,0.0097128,0.0,-0.005746,0.0,0.0
2000-06-27,0.0,-0.0043956,-0.0055288,0.0,0.001268,0.0,0.0048368,-0.0086792,0.0,0.0061348,0.0,0.0
